Names,IDs
Lakers,1610612747
Thunder,1610612760
Raptors,1610612761
Magic,1610612753
Pelicans,1610612740
Timberwolves,1610612750
Pacers,1610612754
Jazz,1610612762
76ers,1610612755
Bulls,1610612741
Hornets,1610612766
Grizzlies,1610612763
Knicks,1610612752
Mavericks,1610612742
Heat,1610612748
Pistons,1610612765
Cavaliers,1610612739
Wizards,1610612764
Nets,1610612751
Rockets,1610612745
Bucks,1610612749
Hawks,1610612737
Celtics,1610612738
Warriors,1610612744
Spurs,1610612759
Nuggets,1610612743
Kings,1610612758
Trail Blazers,1610612757
Clippers,1610612746
Suns,1610612756
